emp_no,first_name,last_name,birth_date,from_date,to_date,title
25466,Chiranjit,Herber,1964-12-27,2001-04-23,9999-01-01,Staff
25661,Saddek,Beausoleil,1964-09-14,2002-03-20,9999-01-01,Senior Staff
26209,Luerbio,Gadepally,1964-08-21,2000-09-13,9999-01-01,Senior Engineer
26931,Chriss,Fioravanti,1964-11-12,2002-01-15,9999-01-01,Engineer
27558,Kensei,Pargas,1964-07-29,2001-03-01,9999-01-01,Senior Engineer
27746,Mark,Lunn,1964-11-29,2001-08-29,9999-01-01,Senior Staff
28062,Ramalingam,Vidal,1964-08-17,2000-10-26,9999-01-01,Engineer
28206,Elvia,Spataro,1964-07-19,2001-05-01,9999-01-01,Engineer
28840,Francesca,Lichtman,1964-01-03,2000-01-29,9999-01-01,Engineer
29157,Jinxi,Prampolini,1964-02-05,2000-07-13,9999-01-01,Assistant Engineer
29473,Lansing,Falby,1964-08-18,2001-08-15,9999-01-01,Staff
30464,Kerryn,Billingsley,1964-04-01,2001-08-20,9999-01-01,Technique Leader
30732,Uriel,Strehl,1964-04-05,2002-01-03,9999-01-01,Staff
30823,Francoise,Cooley,1964-03-02,2002-07-19,9999-01-01,Engineer
30881,Eric,Glowinski,1964-10-25,2000-10-19,9999-01-01,Senior Staff
31245,Woody,Maliniak,1964-07-01,2000-11-14,9999-01-01,Staff
31419,Panayotis,Eterovic,1964-09-10,2001-10-16,9999-01-01,Engineer
31640,Conor,Rosiles,1964-06-25,2000-01-17,9999-01-01,Engineer
31978,Sadegh,Itschner,1964-07-23,2002-02-03,9999-01-01,Engineer
32185,Kinh,DiGiano,1964-03-04,2000-01-20,9999-01-01,Engineer
32327,Divine,Cesareni,1964-08-01,2000-01-02,9999-01-01,Engineer
32484,Adly,Janocha,1964-01-27,2000-01-31,9999-01-01,Engineer
32651,Berhard,Claffy,1964-09-20,2001-01-10,9999-01-01,Staff
34127,Zsolt,Grospietsch,1964-06-06,2001-03-12,9999-01-01,Senior Engineer
34199,Patricio,Shackel,1964-03-25,2002-05-07,9999-01-01,Engineer
34465,Marek,Unni,1964-07-19,2000-11-17,9999-01-01,Senior Staff
34782,Eishiro,Hardjono,1964-10-03,2000-01-07,9999-01-01,Staff
34903,Chinho,Servi,1964-05-01,2000-09-26,9999-01-01,Engineer
35055,Weiwu,Erdi,1964-11-04,2000-05-16,9999-01-01,Engineer
35076,Brewster,Falco,1964-05-28,2000-01-10,9999-01-01,Senior Staff
35177,Barna,Douceur,1964-08-26,2000-09-14,9999-01-01,Engineer
37191,Elzbieta,Castellani,1964-10-21,2000-03-01,9999-01-01,Staff
37468,Gila,Nicolson,1964-11-17,2002-02-13,9999-01-01,Senior Engineer
37574,Dulce,Falster,1964-05-20,2002-04-20,9999-01-01,Senior Staff
37790,Ayakannu,Christianini,1964-04-30,2001-05-26,9999-01-01,Engineer
38069,Youjian,Verspoor,1964-11-20,2001-12-10,9999-01-01,Assistant Engineer
38956,Tesuro,Flanders,1964-12-04,2000-02-24,9999-01-01,Senior Staff
39057,Rafail,Ferriere,1964-01-07,2000-01-12,9999-01-01,Technique Leader
39214,Duke,Birsak,1964-06-10,2000-04-13,9999-01-01,Staff
39432,Ymte,Leivant,1964-09-02,2000-01-08,9999-01-01,Engineer
39548,Ger,Iivonen,1964-12-03,2001-12-07,9999-01-01,Engineer
39565,Mircea,Kisuki,1964-06-15,2001-07-15,9999-01-01,Senior Staff
39877,Uli,Strandh,1964-10-31,2000-12-08,9999-01-01,Engineer
41028,Augustine,Miara,1964-05-25,2001-11-22,9999-01-01,Senior Staff
42043,Franziska,Daescu,1964-05-01,2002-02-05,9999-01-01,Engineer
42110,Jaewoo,Zeleznik,1964-02-04,2001-08-15,9999-01-01,Staff
42138,Felicidad,Leslie,1964-01-17,2002-04-30,9999-01-01,Senior Staff
42313,Fumino,Gilg,1964-06-01,2000-06-10,9999-01-01,Engineer
42428,Goo,Staelin,1964-12-11,2000-07-13,9999-01-01,Senior Staff
43688,Tetsushi,Masada,1964-07-14,2000-02-14,9999-01-01,Engineer
44049,Sergi,Cochrane,1964-09-28,2000-01-03,9999-01-01,Senior Staff
44655,Arto,Plump,1964-08-04,2002-02-10,9999-01-01,Staff
44969,Arup,Georg,1964-09-24,2000-02-14,9999-01-01,Engineer
45118,Leen,Hebert,1964-06-27,2001-08-08,9999-01-01,Engineer
45158,Chenxi,Marshall,1964-06-30,2001-04-11,9999-01-01,Senior Staff
45764,Shigeichiro,Chachaty,1964-11-05,2002-02-26,9999-01-01,Engineer
46264,Sergi,Engberts,1964-11-02,2000-08-12,9999-01-01,Assistant Engineer
46785,Dannz,Brodie,1964-10-22,2000-02-04,9999-01-01,Engineer
47395,Fabrizio,Wrigley,1964-09-11,2002-03-29,9999-01-01,Senior Engineer
47826,Temple,Hooghiemstra,1964-07-15,2000-05-18,9999-01-01,Senior Staff
47835,Apostol,Strandh,1964-03-12,2002-02-04,9999-01-01,Senior Engineer
49108,Christophe,Butterworth,1964-01-16,2001-08-16,9999-01-01,Staff
49421,Susanna,Boudaillier,1964-05-03,2002-01-10,9999-01-01,Senior Staff
49730,Guangming,Junet,1964-07-06,2001-07-27,9999-01-01,Senior Engineer
49965,Chinhyun,Hennings,1964-05-23,2001-05-03,9999-01-01,Staff
50451,Fumiya,Leijenhorst,1964-10-30,2001-07-22,9999-01-01,Staff
50497,Zsolt,Yetim,1964-02-29,2000-09-25,9999-01-01,Senior Staff
50515,Wonhee,Camurati,1964-02-23,2002-02-04,9999-01-01,Engineer
50811,Goo,Schrift,1964-05-25,2000-05-25,9999-01-01,Staff
51511,Akemi,Mitsuhashi,1964-06-19,2001-03-31,9999-01-01,Staff
51762,Kousuke,Moehrke,1964-12-29,2000-09-17,9999-01-01,Senior Staff
52325,Adas,Heinisuo,1964-08-09,2000-10-14,9999-01-01,Senior Staff
52519,Rafail,Gargeya,1964-04-11,2001-11-19,9999-01-01,Senior Staff
53625,Leen,Worfolk,1964-07-24,2001-12-02,9999-01-01,Assistant Engineer
53653,Martial,Narahara,1964-07-11,2000-07-29,9999-01-01,Staff
54252,Shuky,Fontan,1964-06-30,2000-08-09,9999-01-01,Engineer
54317,Abdulla,Krider,1964-05-27,2002-04-16,9999-01-01,Staff
54723,Shay,Bellmore,1964-05-24,2002-01-10,9999-01-01,Senior Staff
55292,Anneke,Bennet,1964-06-10,2000-12-23,9999-01-01,Assistant Engineer
56233,Gunilla,Cincotta,1964-04-15,2001-11-09,9999-01-01,Engineer
56932,Zhiwei,Ashish,1964-02-02,2002-02-07,9999-01-01,Engineer
57147,Sigeru,Rebaine,1964-05-18,2001-06-10,9999-01-01,Staff
57430,Along,Borstler,1964-07-12,2000-01-08,9999-01-01,Staff
57434,Jaques,Hennings,1964-07-11,2001-12-03,9999-01-01,Engineer
57742,Huican,Karlin,1964-11-12,2000-05-23,9999-01-01,Senior Staff
57772,Tomoyuki,Stamatiou,1964-08-11,2001-10-19,9999-01-01,Staff
57810,Greger,Kakkad,1964-02-06,2001-02-19,9999-01-01,Staff
58188,Sadegh,Brendel,1964-05-21,2000-01-19,9999-01-01,Staff
58313,Ronghao,Engelmann,1964-03-27,2000-01-22,9999-01-01,Engineer
58450,Stepehn,Taubenfeld,1964-11-09,2001-10-18,9999-01-01,Staff
59786,Gennadi,Swan,1964-12-04,2001-11-25,9999-01-01,Engineer
59963,Odinaldo,Zuberek,1964-08-01,2000-09-24,9999-01-01,Staff
60667,Niclas,Dayana,1964-04-18,2001-12-31,9999-01-01,Senior Engineer
61502,Nathan,Wegerle,1964-09-02,2001-03-27,9999-01-01,Senior Staff
61770,Yannik,Streit,1964-04-05,2001-01-30,9999-01-01,Senior Staff
61890,Carrsten,Gajiwala,1964-03-10,2002-05-06,9999-01-01,Engineer
62152,Mabhin,Thiran,1964-10-27,2002-04-21,9999-01-01,Engineer
62161,Yakichi,Zuberek,1964-11-22,2000-11-09,9999-01-01,Engineer
62976,Conal,Lagarias,1964-07-04,2001-08-20,9999-01-01,Senior Staff
63364,Pantung,Stanger,1964-12-16,2001-09-14,9999-01-01,Senior Staff
63433,Khosrow,Czaja,1964-12-03,2000-07-06,9999-01-01,Senior Engineer
63761,Kwangsub,Mamelak,1964-12-31,2002-05-27,9999-01-01,Engineer
63966,Froduald,Kolinko,1964-06-10,2000-01-04,9999-01-01,Senior Engineer
64044,Phillip,Desikan,1964-02-07,2001-01-28,9999-01-01,Senior Staff
64470,Diederik,Streit,1964-02-01,2001-08-09,9999-01-01,Staff
65635,Gully,Vecchi,1964-03-18,2002-02-23,9999-01-01,Staff
65853,Nahid,Facello,1964-06-21,2000-04-18,9999-01-01,Engineer
66199,Georgi,Lally,1964-02-19,2000-11-25,9999-01-01,Senior Staff
66696,Toshiko,Heyers,1964-05-30,2002-07-20,9999-01-01,Senior Staff
66706,Susuma,Dymetman,1964-06-30,2000-06-09,9999-01-01,Engineer
66874,Boalin,Kabayashi,1964-03-10,2002-03-05,9999-01-01,Engineer
67248,Tsz,Bellone,1964-05-13,2000-01-19,9999-01-01,Senior Staff
67344,Wilmer,Perl,1964-08-25,2001-11-05,9999-01-01,Engineer
67384,Nevin,Matzat,1964-01-01,2001-12-15,9999-01-01,Senior Staff
68356,Elliott,Zeilberger,1964-04-01,2000-01-08,9999-01-01,Staff
68609,Frederique,Dulin,1964-08-20,2001-04-12,9999-01-01,Senior Staff
68686,Macha,Wielonsky,1964-04-30,2002-02-16,9999-01-01,Engineer
69104,Basil,Bernick,1964-04-09,2001-12-23,9999-01-01,Senior Staff
69344,Nirmal,Perelgut,1964-12-21,2000-08-01,9999-01-01,Engineer
69618,Khaled,Henseler,1964-04-19,2001-04-17,9999-01-01,Senior Engineer
69814,Ymte,Schiettecatte,1964-07-29,2000-01-17,9999-01-01,Senior Staff
69989,Przemyslawa,Speek,1964-12-07,2001-06-16,9999-01-01,Staff
71408,Kristinn,Rajala,1964-01-12,2002-07-25,9999-01-01,Senior Staff
71900,Kersti,Taubman,1964-10-29,2000-10-08,9999-01-01,Staff
72403,Radoslaw,Shinomoto,1964-04-28,2001-05-03,9999-01-01,Senior Engineer
72420,Aamod,Deverell,1964-05-02,2002-05-02,9999-01-01,Staff
72730,Marc,Trelles,1964-05-25,2001-04-26,9999-01-01,Engineer
73653,Mohd,Luiz,1964-05-24,2000-06-24,9999-01-01,Staff
73818,Zito,Perko,1964-09-07,2001-06-02,9999-01-01,Staff
74029,Shigeaki,Georgakopoulos,1964-01-30,2001-02-28,9999-01-01,Assistant Engineer
74285,Ekawit,Linnainmaa,1964-02-09,2000-08-25,9999-01-01,Engineer
74293,Kasidit,Cherinka,1964-01-09,2000-08-27,9999-01-01,Engineer
74370,Horward,Stemann,1964-08-26,2000-08-05,9999-01-01,Engineer
74430,Guttorm,Chimia,1964-01-02,2002-01-05,9999-01-01,Staff
74467,Reinhold,Horswill,1964-11-17,2001-10-13,9999-01-01,Staff
74789,Adit,Sigstam,1964-05-10,2000-07-11,9999-01-01,Engineer
75268,Vidar,Rikino,1964-08-21,2001-08-01,9999-01-01,Engineer
75522,Vasiliy,Khalil,1964-11-25,2002-01-01,9999-01-01,Senior Engineer
75599,Sanjeeva,Picht,1964-07-06,2001-07-03,9999-01-01,Engineer
76418,Ortrud,Dichev,1964-07-20,2002-05-05,9999-01-01,Senior Engineer
76910,Adam,Eiron,1964-11-23,2000-10-23,9999-01-01,Engineer
77253,Malu,McAffer,1964-07-22,2000-03-27,9999-01-01,Senior Staff
77532,Roselyn,Schlegelmilch,1964-01-09,2001-09-28,9999-01-01,Senior Staff
77624,Khaled,Lieberherr,1964-12-02,2000-07-13,9999-01-01,Senior Staff
77966,Panayotis,Garnham,1964-03-07,2002-01-30,9999-01-01,Staff
79403,Monique,Bauknecht,1964-12-07,2002-01-01,9999-01-01,Engineer
80901,Kazuhisa,Wissmann,1964-02-09,2002-03-02,9999-01-01,Senior Staff
81145,Chaitali,Rosaz,1964-03-23,2002-06-19,9999-01-01,Senior Staff
81242,Jaideep,Maquelin,1964-05-18,2001-11-24,9999-01-01,Senior Engineer
81834,Kazuhira,Vigier,1964-01-29,2001-06-14,9999-01-01,Engineer
82338,King,Christianini,1964-08-27,2000-10-08,9999-01-01,Engineer
82703,Xiadong,Wixon,1964-01-23,2002-03-29,9999-01-01,Senior Staff
82771,Takahiro,Merli,1964-04-30,2001-02-27,9999-01-01,Technique Leader
83214,Khosrow,Sommer,1964-10-12,2001-07-09,9999-01-01,Engineer
83892,Angus,Mitzlaff,1964-12-05,2000-09-03,9999-01-01,Engineer
83991,Arra,Parfitt,1964-08-26,2000-11-01,9999-01-01,Staff
83995,Xiaoshan,Baer,1964-10-24,2000-01-28,9999-01-01,Senior Staff
84488,Georgy,Roisin,1964-07-27,2001-03-31,9999-01-01,Senior Engineer
84670,Goo,Cromarty,1964-01-06,2000-02-17,9999-01-01,Senior Staff
85014,Zhigen,Chinal,1964-02-11,2000-01-04,9999-01-01,Senior Staff
85867,Vasiliy,Stiles,1964-05-30,2001-08-11,9999-01-01,Staff
86141,Frazer,Litzkow,1964-02-09,2001-09-27,9999-01-01,Senior Staff
86187,Frederique,Ossenbruggen,1964-06-20,2001-11-20,9999-01-01,Senior Staff
86389,Francesca,Takkinen,1964-04-13,2000-07-17,9999-01-01,Senior Staff
87567,Diederik,Kavanagh,1964-07-03,2001-05-24,9999-01-01,Senior Staff
89368,Tse,Ecklund,1964-05-08,2002-07-18,9999-01-01,Engineer
90248,Aiman,Yemenis,1964-06-13,2000-01-22,9999-01-01,Staff
90860,Christophe,Turnbull,1964-06-12,2001-03-02,9999-01-01,Senior Staff
91577,Elrique,Brendel,1964-01-20,2000-03-09,9999-01-01,Staff
91804,Anestis,Irland,1964-09-19,2001-06-14,9999-01-01,Staff
92037,Yishay,Laurillard,1964-07-07,2000-05-01,9999-01-01,Engineer
92679,Sajjan,Dayang,1964-08-27,2000-01-28,9999-01-01,Staff
92934,Arto,Einsfeld,1964-10-17,2002-03-06,9999-01-01,Engineer
93469,Khue,Norsworthy,1964-02-09,2001-05-02,9999-01-01,Engineer
93518,Oscal,Rusmann,1964-02-05,2001-01-09,9999-01-01,Senior Staff
94128,Pohua,Pulkowski,1964-01-10,2002-02-15,9999-01-01,Senior Staff
94286,Hongzue,Besselaar,1964-04-24,2000-07-31,9999-01-01,Senior Staff
94434,Shushma,Terkki,1964-04-03,2001-01-27,9999-01-01,Senior Staff
94472,Arve,Foong,1964-04-03,2001-03-22,9999-01-01,Staff
94712,Masadi,Reinhart,1964-10-17,2000-11-26,9999-01-01,Senior Staff
94873,Vidya,Cools,1964-02-19,2000-01-17,9999-01-01,Engineer
95255,Hitofumi,Atrawala,1964-07-02,2000-09-26,9999-01-01,Senior Staff
95666,Spyrose,Vanwelkenhuysen,1964-03-07,2000-01-18,9999-01-01,Staff
96316,DAIDA,Genther,1964-11-06,2001-11-28,9999-01-01,Engineer
97332,Sadun,Hasenauer,1964-05-11,2000-01-05,9999-01-01,Staff
97858,Yuriy,Fiutem,1964-04-01,2000-12-08,9999-01-01,Senior Staff
98629,Tesuro,Rodite,1964-01-04,2000-01-06,9999-01-01,Technique Leader
98669,Bernd,Lorho,1964-02-27,2000-08-15,9999-01-01,Engineer
98873,Taegyun,Rohrbach,1964-02-25,2002-04-02,9999-01-01,Engineer
99219,Tran,Waeselynck,1964-10-08,2001-06-10,9999-01-01,Staff
99469,Paraskevi,Kemmerer,1964-01-15,2002-03-01,9999-01-01,Senior Staff
99640,Mori,Danner,1964-03-13,2000-01-03,9999-01-01,Staff
99666,Jackson,Kropp,1964-05-25,2001-12-15,9999-01-01,Senior Staff
100038,Srinidhi,Krohn,1964-04-17,2000-01-15,9999-01-01,Senior Engineer
100454,Jouni,Rabejac,1964-09-04,2002-01-06,9999-01-01,Staff
100526,Huei,Sewelson,1964-07-16,2001-09-24,9999-01-01,Engineer
101447,Gonzalo,Staylopatis,1964-01-21,2001-07-16,9999-01-01,Engineer
101839,Parke,Bhattacharjee,1964-08-22,2000-01-03,9999-01-01,Engineer
101988,Akemi,Maierhofer,1964-01-09,2001-12-25,9999-01-01,Staff
103051,Shounak,Oehlmann,1964-04-05,2001-06-07,9999-01-01,Engineer
103514,Marsha,Schmezko,1964-02-20,2000-02-26,9999-01-01,Staff
103966,Weijing,Leijenhorst,1964-12-08,2000-01-24,9999-01-01,Senior Engineer
105090,Arfst,Waterhouse,1964-12-14,2000-02-19,9999-01-01,Technique Leader
105231,Alper,Kushnir,1964-02-19,2000-02-24,9999-01-01,Engineer
107022,Pranay,Basagni,1964-10-14,2001-01-14,9999-01-01,Engineer
107168,Wojceich,Kolinko,1964-12-06,2001-02-10,9999-01-01,Engineer
107548,Rosella,Hmelo,1964-04-12,2000-01-18,9999-01-01,Staff
108769,Brewster,Ozeki,1964-10-12,2000-08-14,9999-01-01,Engineer
108790,Leaf,Fetvedt,1964-06-22,2002-02-09,9999-01-01,Engineer
109192,Baruch,Barbanera,1964-04-04,2000-10-25,9999-01-01,Staff
200214,Fusako,DeMori,1964-01-19,2000-07-27,9999-01-01,Technique Leader
200420,Byong,Schapire,1964-03-15,2001-01-07,9999-01-01,Staff
200682,Masato,Orlowski,1964-11-02,2000-01-30,9999-01-01,Staff
200737,Rajmohan,Jording,1964-02-05,2002-04-01,9999-01-01,Technique Leader
200996,Tonia,Niizuma,1964-06-15,2000-07-03,9999-01-01,Staff
201844,Perry,Gente,1964-06-09,2001-12-24,9999-01-01,Senior Staff
202938,Krister,Haraldson,1964-12-05,2000-08-26,9999-01-01,Engineer
203128,Guozhong,Domenig,1964-07-04,2002-03-01,9999-01-01,Senior Staff
203507,Shem,Bratten,1964-10-14,2002-03-09,9999-01-01,Engineer
204385,Fumino,Tchuente,1964-12-08,2002-06-12,9999-01-01,Staff
204434,Ung,Wrigley,1964-02-15,2000-01-07,9999-01-01,Senior Staff
204462,Bodh,Majewski,1964-07-26,2002-07-25,9999-01-01,Staff
204627,Shao,Riexinger,1964-06-02,2000-01-06,9999-01-01,Engineer
205047,Danae,Cappello,1964-02-25,2001-09-01,9999-01-01,Engineer
205175,King,Yoshimura,1964-05-28,2000-08-14,9999-01-01,Engineer
205195,Aamod,Feinberg,1964-05-17,2001-06-08,9999-01-01,Senior Staff
207144,Kiam,Perelgut,1964-04-20,2002-05-20,9999-01-01,Senior Staff
207981,Eric,Beetstra,1964-08-27,2002-06-15,9999-01-01,Staff
208038,Gurbir,Siochi,1964-09-07,2000-09-28,9999-01-01,Assistant Engineer
208251,Berni,Plumb,1964-10-10,2000-04-07,9999-01-01,Senior Engineer
208939,Krisda,Preusig,1964-07-09,2000-07-16,9999-01-01,Engineer
209270,Adam,Baja,1964-07-13,2000-01-05,9999-01-01,Engineer
209411,Dinkar,Uchoa,1964-01-27,2000-09-01,9999-01-01,Engineer
209673,Rayond,Assaf,1964-02-23,2002-06-12,9999-01-01,Assistant Engineer
209755,Douadi,Ligten,1964-08-30,2001-10-24,9999-01-01,Staff
210757,Isamu,Demri,1964-03-22,2001-02-13,9999-01-01,Staff
210938,Valdiodio,Egerstedt,1964-08-30,2001-05-10,9999-01-01,Senior Engineer
210979,Kauko,Undy,1964-04-18,2000-08-25,9999-01-01,Senior Staff
211942,Hercules,Ushiama,1964-11-25,2001-03-29,9999-01-01,Engineer
212344,Saddek,Karlin,1964-01-03,2000-11-28,9999-01-01,Engineer
212557,Kerhong,Hemaspaandra,1964-10-18,2000-09-25,9999-01-01,Engineer
212661,Shin,Anily,1964-11-01,2001-02-27,9999-01-01,Engineer
212891,Yurij,Levergood,1964-07-30,2001-08-29,9999-01-01,Engineer
212947,Snehasis,Passino,1964-08-12,2000-08-22,9999-01-01,Senior Staff
213110,Moon,Chiodo,1964-10-21,2002-05-16,9999-01-01,Staff
213331,Subbu,Luft,1964-04-02,2001-08-19,9999-01-01,Assistant Engineer
214527,Duke,Mandell,1964-10-28,2001-08-29,9999-01-01,Assistant Engineer
215269,Werner,Wossner,1964-09-19,2001-01-09,9999-01-01,Senior Staff
215699,Gregory,Rettelbach,1964-09-26,2002-05-31,9999-01-01,Engineer
215795,Lokesh,Cooman,1964-05-11,2001-03-29,9999-01-01,Engineer
215908,Odysseas,Jording,1964-12-02,2002-06-21,9999-01-01,Staff
216434,Vidya,Veevers,1964-03-24,2000-07-31,9999-01-01,Engineer
216495,Bingning,Guting,1964-02-25,2001-06-14,9999-01-01,Senior Staff
216565,Sangeeta,Alvarado,1964-08-04,2001-02-03,9999-01-01,Engineer
217650,Ger,Clouatre,1964-04-17,2002-03-12,9999-01-01,Engineer
217812,Gal,Krybus,1964-12-19,2001-07-30,9999-01-01,Senior Staff
217821,Chuanti,Peir,1964-07-23,2001-01-28,9999-01-01,Staff
218108,Douadi,Camurati,1964-07-04,2002-01-22,9999-01-01,Senior Staff
218464,Mana,Fordan,1964-06-27,2000-05-07,9999-01-01,Engineer
219740,Zine,Schiettecatte,1964-09-14,2000-08-17,9999-01-01,Technique Leader
219793,Nitsan,Lampe,1964-03-02,2002-03-29,9999-01-01,Senior Staff
219954,Nobuyoshi,Mikschl,1964-01-10,2000-01-03,9999-01-01,Staff
220002,Chrisa,Bojadziev,1964-04-18,2000-01-26,9999-01-01,Engineer
220005,Toshiko,Wrigley,1964-09-04,2002-06-25,9999-01-01,Senior Staff
220365,Tonny,Menhardt,1964-01-12,2000-01-14,9999-01-01,Staff
221364,Branimir,Leslie,1964-01-17,2001-05-22,9999-01-01,Senior Engineer
221949,Gopalakrishnan,Tsunoo,1964-01-25,2002-01-15,9999-01-01,Technique Leader
222409,Arve,Herath,1964-01-07,2000-01-30,9999-01-01,Staff
224428,Uli,Neiman,1964-09-19,2000-05-28,9999-01-01,Staff
224546,Lansing,Armand,1964-03-17,2000-05-06,9999-01-01,Senior Engineer
224641,Sangeeta,Litzler,1964-02-03,2000-09-20,9999-01-01,Engineer
225027,Somnath,Tischendorf,1964-10-15,2001-06-28,9999-01-01,Engineer
225040,Spyrose,Butterworth,1964-12-12,2000-01-13,9999-01-01,Engineer
225144,Maris,Hoppenstand,1964-06-04,2001-02-11,9999-01-01,Engineer
225264,Badri,Bahl,1964-01-02,2000-01-18,9999-01-01,Staff
225278,Michaela,Greenaway,1964-09-13,2000-11-19,9999-01-01,Staff
225471,Subbu,Vidya,1964-10-19,2002-01-04,9999-01-01,Engineer
225830,Takushi,Bernini,1964-06-06,2000-07-06,9999-01-01,Senior Engineer
226221,Martine,Randt,1964-10-28,2002-07-09,9999-01-01,Senior Staff
226372,Sanjiv,Haldar,1964-05-19,2000-01-18,9999-01-01,Technique Leader
226638,Rosalie,Ibel,1964-11-19,2000-01-13,9999-01-01,Senior Engineer
226823,Khun,Bondorf,1964-12-07,2001-02-12,9999-01-01,Engineer
227364,Palash,Stasinski,1964-07-21,2000-08-03,9999-01-01,Engineer
227541,Marco,Hiyoshi,1964-08-30,2000-01-13,9999-01-01,Engineer
228796,Jayesh,Undy,1964-10-01,2000-03-05,9999-01-01,Technique Leader
228998,Adil,Anger,1964-06-20,2001-07-23,9999-01-01,Engineer
230152,Georg,Baig,1964-02-15,2001-04-13,9999-01-01,Senior Engineer
231247,Padma,Chimia,1964-10-26,2002-03-17,9999-01-01,Senior Staff
231464,Duke,Warwick,1964-03-08,2000-08-28,9999-01-01,Senior Engineer
232302,Ayakannu,Pashtan,1964-03-23,2000-11-11,9999-01-01,Technique Leader
232556,Angus,Perfilyeva,1964-10-08,2000-01-12,9999-01-01,Senior Staff
232669,Dines,Homond,1964-08-06,2000-04-03,9999-01-01,Senior Staff
232959,Ioana,Zeilberger,1964-02-03,2002-06-27,9999-01-01,Staff
233289,Palash,Glinert,1964-05-25,2001-12-22,9999-01-01,Senior Engineer
233382,Bojan,Diderrich,1964-12-27,2001-03-11,9999-01-01,Senior Staff
233478,Hongzhu,Seghrouchni,1964-01-23,2001-07-23,9999-01-01,Engineer
234006,Mrinalini,Butner,1964-02-06,2000-07-29,9999-01-01,Engineer
234458,Hironoby,Sadowski,1964-05-10,2002-03-31,9999-01-01,Senior Staff
235199,Shen,Erev,1964-10-25,2000-01-24,9999-01-01,Staff
235909,Guadalupe,Thisen,1964-05-22,2001-01-17,9999-01-01,Engineer
236196,Qiwen,Escriba,1964-04-30,2000-01-09,9999-01-01,Staff
236583,Jordanka,Malabarba,1964-12-28,2002-01-28,9999-01-01,Staff
237004,Maik,Segond,1964-01-13,2000-01-27,9999-01-01,Senior Staff
237086,Ipke,Jansen,1964-08-26,2001-06-30,9999-01-01,Senior Staff
237524,Valeri,Baca,1964-06-20,2002-04-28,9999-01-01,Engineer
237966,Horward,Zedlitz,1964-02-17,2001-04-05,9999-01-01,Senior Staff
